ID,Heating SP,Cooling SP,Blind 1,Blind 2,Window 1,Window 2
278,18,22,0,1,0,0
279,18,23,0,1,0,0
280,18,24,0,1,0,0
281,18,25,0,1,0,0
282,18,26,0,1,0,0
283,18,27,0,1,0,0
284,18,28,0,1,0,0
285,19,20,0,1,0,0
286,19,21,0,1,0,0
287,19,22,0,1,0,0
288,19,23,0,1,0,0
289,19,24,0,1,0,0
290,19,25,0,1,0,0
291,19,26,0,1,0,0
292,19,27,0,1,0,0
293,19,28,0,1,0,0
294,20,21,0,1,0,0
295,20,22,0,1,0,0
296,20,23,0,1,0,0
297,20,24,0,1,0,0
298,20,25,0,1,0,0
299,20,26,0,1,0,0
300,20,27,0,1,0,0
301,20,28,0,1,0,0
302,21,22,0,1,0,0
303,21,23,0,1,0,0
304,21,24,0,1,0,0
305,21,25,0,1,0,0
306,21,26,0,1,0,0
307,21,27,0,1,0,0
308,21,28,0,1,0,0
309,22,23,0,1,0,0
310,22,24,0,1,0,0
311,22,25,0,1,0,0
312,22,26,0,1,0,0
313,22,27,0,1,0,0
314,22,28,0,1,0,0
315,23,24,0,1,0,0
316,23,25,0,1,0,0
317,23,26,0,1,0,0
318,23,27,0,1,0,0
319,23,28,0,1,0,0
320,24,25,0,1,0,0
321,24,26,0,1,0,0
322,24,27,0,1,0,0
323,24,28,0,1,0,0
324,25,26,0,1,0,0
325,25,27,0,1,0,0
326,25,28,0,1,0,0
327,26,27,0,1,0,0
328,26,28,0,1,0,0
329,27,28,0,1,0,0
330,17,18,0,1,0,1
331,17,19,0,1,0,1
332,17,20,0,1,0,1
333,17,21,0,1,0,1
334,17,22,0,1,0,1
335,17,23,0,1,0,1
336,17,24,0,1,0,1
337,17,25,0,1,0,1
338,17,26,0,1,0,1
339,17,27,0,1,0,1
340,17,28,0,1,0,1
341,18,19,0,1,0,1
342,18,20,0,1,0,1
343,18,21,0,1,0,1
344,18,22,0,1,0,1
345,18,23,0,1,0,1
346,18,24,0,1,0,1
347,18,25,0,1,0,1
348,18,26,0,1,0,1
